ticker,predictedClose,lastClosePrice,positionType,entryPrice,closePrice,profit,date
PYPL,64.3000717163086,61.64,Long,61.64,61.64,1.6223231667748215,2024-05-25
AAPL,178.69696044921875,189.98,Short,189.98,189.98,0.526371196968102,2024-05-25
GOOGL,166.39764404296875,174.99,Short,174.99,174.99,0.5714612263557918,2024-05-25
AMZN,182.5473480224609,180.75,Long,180.75,180.75,0.5532503457814661,2024-05-25
MSFT,411.7848205566406,430.16,Short,430.16,430.16,0.23247163846010785,2024-05-25
TSLA,170.82579040527344,179.24,Short,179.24,179.24,0.557911180540058,2024-05-25
NVDA,890.6080322265625,1064.69,Short,1064.69,1064.69,0.09392405301073552,2024-05-25
NFLX,598.2650756835938,646.75,Short,646.75,646.75,0.15461925009663702,2024-05-25
ADBE,478.4653625488281,475.43,Long,475.43,475.43,0.21033590644258882,2024-05-25
ORCL,118.48693084716795,122.91,Short,122.91,122.91,0.8136034496786266,2024-05-25
INTC,32.18824768066406,30.72,Long,30.72,30.72,3.2552083333333335,2024-05-25
CSCO,47.775482177734375,46.42,Long,46.42,46.42,2.1542438604049976,2024-05-25
IBM,172.1387939453125,170.89,Long,170.89,170.89,0.5851717479080111,2024-05-25
AMD,156.13644409179688,166.36,Short,166.36,166.36,0.6011060351045924,2024-05-25
QCOM,178.91226196289062,210.36,Short,210.36,210.36,0.47537554668187865,2024-05-25
TXN,181.55029296875,199.18,Short,199.18,199.18,0.5020584396023697,2024-05-25
AVGO,1323.18310546875,1407.84,Short,1407.84,1407.84,0.07103079895442664,2024-05-25
MU,118.88388061523438,129.49,Short,129.49,129.49,0.7722604062089736,2024-05-25
CRM,276.7942810058594,272.29,Long,272.29,272.29,0.36725549965110726,2024-05-25
PYPL,64.3000717163086,61.64,Long,61.64,61.64,1.6223231667748215,2024-05-25
